loja,num,raio_km,setores,municipios,n_comunidades,pop,dppo,resp_renda,criancas_0_14,jovens_15_29,idosos_60,raca_preta_parda,fcu_pop,esg_adequado,dom_precario,escolas,saude,est_desocupacao,est_participacao,est_informalidade,est_emprego_formal,est_conta_propria,est_sem_previdencia,est_rdpc,est_pobreza,est_extrema_pobreza,est_gini,est_superior_25,est_sem_fundamental_25
SH do Vale,82,5,421,Cachoeirinha+Canoas+Gravataí+Porto Alegre,7,247584,95750,2827.46,44611,51887,43189,52356,12927,93067,168,157,54,7.39,61.14,34.14,63.43,20.13,24.03,746.51,15.87,5.33,0.42,5.4,39.11
SH Barrasul,126,1,28,Porto Alegre,1,8371,3724,6324.15,1049,1447,2359,1712,184,3666,0,8,3,5.01,62.11,34.32,61.2,20.07,21.93,1819.7,8.91,3.39,0.55,31.2,19.38
SH Barrasul,126,2,105,Porto Alegre,12,49111,20342,4881.45,8090,9926,10828,14562,11880,19469,152,43,15,4.88,61.84,36.12,60.53,21.65,21.58,1932.22,8.84,3.39,0.55,32.4,19.63
SH Barrasul,126,3,232,Porto Alegre,18,111961,46272,5259.82,17492,21398,26611,30167,21008,44902,233,90,29,4.98,61.99,36.46,60.05,21.94,21.89,2020.24,9.48,3.76,0.56,32.45,20.54
SH Barrasul,126,5,481,Porto Alegre,23,224303,94929,5916.44,32588,40830,56447,52716,25702,92498,286,178,43,5.25,61.96,36.59,60.07,21.45,22.69,1922.48,10.93,4.44,0.56,30.63,22.07
SH Bourbon Ipiranga,140,1,59,Porto Alegre,3,26596,12551,6580.63,2815,4919,7325,4502,2044,12473,0,12,4,5.28,61.29,34.3,60.19,21.06,20.51,2662.53,9.49,5.07,0.54,43.42,15.78
SH Bourbon Ipiranga,140,2,237,Porto Alegre,7,104927,47868,6991.83,11964,19399,27196,18455,6769,47588,45,71,40,5.6,61.08,35.22,59.65,21.34,21.8,2452.56,10.65,5.34,0.55,38.5,18.64
SH Bourbon Ipiranga,140,3,508,Porto Alegre,18,237657,104523,7420.02,31521,45298,59711,50124,27121,102752,120,164,64,5.44,60.77,36.07,58.8,22.13,22.35,2407.8,11.46,5.39,0.55,35.68,20.74
SH Bourbon Ipiranga,140,5,1262,Porto Alegre,47,568697,254653,7043.92,76517,110229,141558,122220,78270,248980,378,404,143,5.4,61.35,36.55,58.72,22.27,22.5,2334.78,11.05,5.05,0.55,33.92,21.22
SH Bourbon Wallig,170,1,76,Porto Alegre,0,35544,17185,6591.78,3859,5568,10377,3598,0,17138,13,26,8,3.41,62.59,37.97,57.01,24.05,21.14,2071.72,5.78,2.47,0.52,30.36,19.61
SH Bourbon Wallig,170,2,202,Porto Alegre,0,93875,42769,7216.82,11260,14610,26726,9778,0,42603,13,74,18,4.1,63.04,38.03,56.43,25.13,21.17,2319.21,4.57,2.08,0.52,33.88,17.91
SH Bourbon Wallig,170,3,352,Porto Alegre,4,164451,73228,7606.03,20014,26008,46736,18114,933,72908,43,123,27,4.54,63.07,37.48,56.51,24.85,21.19,2332.97,5.47,2.42,0.52,33.69,18.8
SH Bourbon Wallig,170,5,977,Porto Alegre,34,462305,200293,6990.38,66035,82373,115302,86064,50892,196980,183,337,78,5.01,62.79,36.71,58.04,23.28,21.98,2230.23,9.94,4.12,0.52,30.56,23.49
SH Total,251,1,85,Porto Alegre,0,29750,15967,8875.54,2140,6180,9314,2445,0,15936,26,21,15,4.14,62.68,39.63,54.17,26.57,20.87,4659.04,5.44,3.66,0.61,51.61,9.41
SH Total,251,2,292,Porto Alegre,0,105225,55770,8361.11,8358,21017,31497,11059,0,55670,69,89,39,4.33,63.63,38.64,55.42,25.14,21.25,3705,5.48,3.55,0.56,49.08,10.5
SH Total,251,3,538,Porto Alegre,0,207063,107233,8728.34,18571,38578,60649,21798,0,106981,81,176,54,4.52,64.03,38.1,55.61,24.65,21.17,3437.5,5.41,3.41,0.55,48.28,10.97
SH Total,251,5,940,Porto Alegre,14,390627,189412,8131.67,42366,71260,109389,52834,14135,187538,133,311,81,4.88,63.23,37.53,56.48,23.61,21.77,2925.7,7.57,3.87,0.55,42.77,15.23
SH Gravataí,279,1,7,Gravataí,0,4437,1977,3612.35,622,907,844,565,0,1956,0,4,4,6.41,62.55,38.9,56.6,23.13,23.26,1418.12,11.9,5.28,0.48,19.92,27.16
SH Gravataí,279,2,37,Gravataí,0,19421,8109,4038.91,2830,3830,4063,2519,0,8012,23,28,15,6.47,62.16,37.85,57.97,22.7,22.25,1374.53,11.19,4.87,0.47,18.79,27.68
SH Gravataí,279,3,91,Gravataí,0,48860,19591,3306.6,7747,9918,9713,7817,0,19243,41,54,20,7.2,60.39,35.08,61.98,20.78,22.97,984.13,16.82,7.1,0.46,11.3,36.76
SH Gravataí,279,5,194,Gravataí,4,114467,44691,3000.84,20188,24282,20022,21068,5576,43182,78,88,32,7.45,60.05,34.48,63.08,19.94,23.72,813.37,18.19,7.43,0.44,7.58,40.02
SH Park Canoas,395,1,24,Canoas,0,12399,5068,9849.78,2089,2111,2129,1178,0,5024,0,6,2,3.5,63.02,28.99,61.87,20.51,14.78,2370.95,5.26,2.81,0.53,34.19,13.98
SH Park Canoas,395,2,105,Canoas,0,49017,19985,6261.22,7030,8636,11564,5868,0,19833,0,44,21,4.9,61.93,32.02,62.77,21.61,18.49,1724.64,7.37,3.07,0.49,24.5,21.35
SH Park Canoas,395,3,248,Canoas,3,119100,48253,4965.14,18890,23438,24023,18864,1012,47635,48,82,33,5.6,61.76,33,63.21,21.5,20,1395.15,9.67,3.61,0.47,18.61,26.5
SH Park Canoas,395,5,538,Canoas,9,282412,109909,3818.2,50260,58994,50164,56992,6554,108411,99,165,62,6.41,61.12,34.01,63.43,20.66,22.59,1038.91,15.02,5.3,0.45,12.04,34.89
LJ Guaíba,440,1,13,Guaíba,0,6065,2549,5059.74,809,962,1663,737,0,2516,0,17,7,7.35,59.52,34,62.78,17.75,23.67,1081.92,13.3,3.76,0.51,14.24,34.99
LJ Guaíba,440,2,41,Guaíba,5,19298,7560,3422.64,3075,3750,4471,3749,3315,7380,0,25,10,7.13,59.34,34.28,63.21,17.76,24.4,964.93,15.4,4.85,0.49,11.51,37.72
LJ Guaíba,440,3,82,Guaíba,7,41795,16039,3016.73,6867,8417,9286,9430,4313,15756,4,38,15,6.99,58.89,34.78,63.66,17.51,25.43,804.42,18.36,6.41,0.46,7.67,41.67
LJ Guaíba,440,5,134,Guaíba+Porto Alegre,11,70219,26893,3001.44,11950,14196,14368,14947,5506,26435,4,55,18,7.07,59.36,34.56,64.06,17.69,25.49,805.51,18.39,6.59,0.46,7.4,42.89
SH Center Lar,449,1,39,Porto Alegre,1,16596,6938,4415.13,2219,2743,4384,2443,870,6864,8,11,2,4.51,62.27,34.19,59.18,23.01,18.72,1689.47,5.9,2.52,0.52,20.36,26.53
SH Center Lar,449,2,159,Porto Alegre,7,75305,30382,4330.5,11839,13578,17431,15527,11932,29938,31,47,11,5.05,62.62,34.96,61.18,22.06,20.94,1506.3,10,3.62,0.49,18.31,29.91
SH Center Lar,449,3,335,Porto Alegre,13,164269,67230,4143.8,26053,30625,36985,38703,20846,65973,38,119,28,5.18,62.73,35.19,61.7,21.16,21.82,1363.75,12.31,4.57,0.48,17.09,31.18
SH Center Lar,449,5,708,Cachoeirinha+Canoas+Porto Alegre,29,343957,142533,4389.75,55052,66231,76295,87153,38183,139670,104,247,60,5.23,62.57,34.93,61.8,20.31,22.29,1348.67,13.42,5.09,0.49,17.61,31.22
Aero Salgado Filho,505,1,2,Porto Alegre,0,760,348,6162.55,89,101,196,75,0,347,0,1,0,5.18,63.56,36.1,55.23,23.87,21.16,2595.98,3.01,2.48,0.5,37.98,15.25
Aero Salgado Filho,505,2,65,Porto Alegre,3,28738,12530,5182.86,3771,4911,7519,4462,1653,12470,0,30,4,5.4,63.55,36.99,56.75,23.25,22.15,2092.55,8.56,3.91,0.53,29.67,22.86
Aero Salgado Filho,505,3,262,Porto Alegre,9,119709,53029,6210.31,16372,20893,30757,19049,7970,51862,45,103,19,5.06,63.78,38.04,56.31,24.23,22.2,2121.86,9.11,3.73,0.54,30.32,23.21
Aero Salgado Filho,505,5,738,Canoas+Porto Alegre,18,334612,146213,7496.45,45524,57484,89026,48134,17916,144042,108,255,60,4.96,62.77,37.82,56.49,24.8,22.1,2415.87,8.56,3.43,0.53,31.92,23.38
LJ Esteio,524,1,31,Esteio,1,12258,4993,4380.26,1878,2315,2855,2132,1053,4951,3,19,31,5.11,61.01,29.75,66.02,17.41,19.28,1170.08,9.82,2.93,0.48,12.93,31.41
LJ Esteio,524,2,91,Esteio,2,37168,14940,3625.0,5965,7179,8195,7064,1823,14657,23,48,38,5.31,60.44,30.12,65.79,17.94,19.46,1139.63,10.9,3.01,0.49,12.4,32.56
LJ Esteio,524,3,155,Esteio+Sapucaia do Sul,3,66368,26164,3320.36,10499,12879,14828,12543,2171,25774,46,72,55,5.76,59.54,31.37,65.42,18.73,20.26,1033.43,11.46,3.37,0.47,10.68,35.19
LJ Esteio,524,5,416,Canoas+Esteio+Sapucaia do Sul,7,187147,73159,3048.11,31879,38795,36062,37120,4502,71506,60,161,98,6.44,59.31,31.82,65.98,18.4,21.39,888.77,14.97,4.95,0.45,8.09,40.06
LJ Sapucaia do Sul,532,1,49,Sapucaia do Sul,0,18913,7572,3186.41,2656,3653,4715,3134,0,7394,4,23,13,6.6,57.72,33.81,64.54,19.13,23.79,837.12,14.47,4.54,0.47,6.55,43.53
LJ Sapucaia do Sul,532,2,169,Esteio+Sapucaia do Sul,2,72924,28281,2865.49,12155,15325,14786,14238,1232,27361,27,66,36,6.6,58.33,33.52,65.06,18.05,23.89,757.69,17.6,5.3,0.44,5.47,45.05
LJ Sapucaia do Sul,532,3,250,Esteio+Sapucaia do Sul,3,117809,45466,2865.13,20683,24827,22111,22987,1565,44109,37,89,55,6.8,58.61,32.87,65.7,17.65,23.52,742.83,18.56,5.51,0.44,5.27,45.31
LJ Sapucaia do Sul,532,5,419,Esteio+Sapucaia do Sul,6,200133,76523,2850.14,36205,42631,36536,41591,4225,73596,43,155,104,6.73,58.71,32,66.2,17.66,22.44,785.93,17.56,5.5,0.44,6.16,43.74
SH Bourbon Teresópolis,548,1,46,Porto Alegre,1,21653,8916,4976.09,3160,3835,5450,5074,1969,8728,12,26,2,5.95,60.38,36.87,60.24,20.91,24.21,1606.19,15.84,7.21,0.58,26,27.78
SH Bourbon Teresópolis,548,2,183,Porto Alegre,11,82122,32865,4270.8,12966,15994,19360,25641,16673,32220,113,62,16,6.09,59.94,36.53,60.51,20.49,24.05,1652.48,15.45,6.98,0.58,26.12,26.95
SH Bourbon Teresópolis,548,3,399,Porto Alegre,29,179423,73843,5022.23,26765,35099,41953,50888,35785,72041,302,135,66,6.07,60.13,36.2,60.56,20.27,23.68,1735.18,14.63,6.64,0.58,27.7,25.47
SH Bourbon Teresópolis,548,5,993,Porto Alegre,46,448324,197215,6019.4,62340,89073,107480,108247,68163,191013,402,319,113,5.6,60.87,35.96,60.23,21.15,22.69,2078.2,12.27,5.51,0.55,31.4,22.39
Loja Adm Porto Alegre,595,1,59,Porto Alegre,2,28508,10809,4696.83,5931,6859,4402,11461,14549,10206,27,18,4,5.2,59.65,34.94,61,20.62,22.96,1535.38,12.88,4.64,0.55,22.85,27.58
Loja Adm Porto Alegre,595,2,172,Porto Alegre,12,84986,34379,4825.51,14411,18355,16973,27438,18806,33311,111,63,16,5.86,59.69,34.85,61.62,20.45,23.19,1411.94,14.22,5.28,0.53,20.92,29.31
Loja Adm Porto Alegre,595,3,367,Porto Alegre,26,185145,75924,5909.06,30354,37967,39687,53580,39678,72936,149,116,56,5.9,59.93,34.94,61.2,20.85,22.71,1629.35,14.13,5.46,0.52,24.17,27.88
Loja Adm Porto Alegre,595,5,975,Porto Alegre,42,474983,202950,6727.67,69879,90733,112313,108573,75860,197060,233,313,111,5.47,61.01,36.05,59.37,22.02,22.63,2079.22,12.22,5.37,0.53,29.52,24.41
